epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4586,1.51966,3.21076,1.67793,0.3371,0.37263,0.28797,0.12946,1.75046,3.39964,1.94908,0.000331512,0.000331512,0.000331512
2,60.3187,1.53434,2.25877,1.65412,0.44218,0.43034,0.37644,0.18287,1.75749,2.14423,1.91484,0.000658263,0.000658263,0.000658263
3,82.0309,1.54134,1.94045,1.62945,0.562,0.47521,0.50362,0.25351,1.7084,1.91466,1.91328,0.000978415,0.000978415,0.000978415
4,103.535,1.56261,1.84726,1.6545,0.4721,0.47907,0.46272,0.22998,1.77902,2.09166,1.90056,0.0009703,0.0009703,0.0009703
5,124.69,1.5051,1.63632,1.61146,0.74469,0.56967,0.65663,0.35177,1.59229,1.6179,1.74342,0.0009604,0.0009604,0.0009604
6,146.246,1.47401,1.50451,1.58664,0.75056,0.66586,0.7353,0.40883,1.47902,1.35838,1.6505,0.0009505,0.0009505,0.0009505
7,167.711,1.44212,1.39234,1.54503,0.70181,0.55315,0.63249,0.34388,1.61842,1.59825,1.77291,0.0009406,0.0009406,0.0009406
8,188.798,1.41227,1.32619,1.53276,0.77508,0.68941,0.76317,0.44244,1.46761,1.22404,1.62858,0.0009307,0.0009307,0.0009307
9,209.391,1.37755,1.25224,1.51058,0.82246,0.69391,0.78299,0.44185,1.47747,1.17765,1.63728,0.0009208,0.0009208,0.0009208
10,230.283,1.37269,1.22434,1.50342,0.7796,0.74532,0.81792,0.47363,1.45726,1.05184,1.57966,0.0009109,0.0009109,0.0009109
11,251.643,1.35147,1.17174,1.48373,0.86616,0.80691,0.87652,0.52518,1.38048,0.89705,1.53145,0.000901,0.000901,0.000901
12,273.174,1.35074,1.13848,1.48011,0.83287,0.80172,0.85953,0.4994,1.40034,0.96646,1.55747,0.0008911,0.0008911,0.0008911
13,294.064,1.31707,1.1005,1.45705,0.85257,0.80101,0.85027,0.50088,1.3685,0.94043,1.52686,0.0008812,0.0008812,0.0008812
14,315.294,1.28777,1.05351,1.43892,0.86371,0.84233,0.9016,0.55363,1.33998,0.8117,1.47968,0.0008713,0.0008713,0.0008713
15,336.723,1.29348,1.02986,1.42984,0.86995,0.83056,0.89444,0.54595,1.36213,0.82277,1.52163,0.0008614,0.0008614,0.0008614
16,357.62,1.27911,1.00698,1.42349,0.87685,0.82459,0.88888,0.53464,1.3729,0.8305,1.49042,0.0008515,0.0008515,0.0008515
17,378.721,1.2714,0.97936,1.41706,0.86577,0.83996,0.90017,0.55904,1.301,0.806,1.44131,0.0008416,0.0008416,0.0008416
18,399.647,1.25242,0.9762,1.40903,0.87223,0.85488,0.89908,0.53724,1.33482,0.81386,1.48522,0.0008317,0.0008317,0.0008317
19,420.408,1.25848,0.96789,1.41388,0.88763,0.88798,0.92698,0.59123,1.27827,0.70481,1.4393,0.0008218,0.0008218,0.0008218
20,441.533,1.23138,0.93423,1.39334,0.88447,0.84628,0.90499,0.5747,1.27389,0.7696,1.43995,0.0008119,0.0008119,0.0008119
21,462.411,1.23314,0.92809,1.39523,0.90771,0.87249,0.92858,0.58489,1.28187,0.72062,1.44953,0.000802,0.000802,0.000802
22,483.208,1.21531,0.90079,1.37558,0.90308,0.84718,0.90988,0.56731,1.32987,0.76102,1.47266,0.0007921,0.0007921,0.0007921
23,504.114,1.19485,0.87902,1.37163,0.89443,0.89276,0.93018,0.59549,1.25038,0.67807,1.42255,0.0007822,0.0007822,0.0007822
24,525.806,1.19095,0.86768,1.3612,0.89431,0.87952,0.92719,0.59537,1.26056,0.68537,1.40899,0.0007723,0.0007723,0.0007723
25,546.276,1.18566,0.86078,1.35866,0.91449,0.90204,0.94196,0.6104,1.23541,0.65365,1.4016,0.0007624,0.0007624,0.0007624
26,566.907,1.1825,0.84158,1.35873,0.92185,0.88152,0.93849,0.6042,1.24456,0.68073,1.40359,0.0007525,0.0007525,0.0007525
27,587.851,1.16968,0.84683,1.3545,0.89717,0.88841,0.92631,0.59766,1.26218,0.70601,1.41437,0.0007426,0.0007426,0.0007426
28,608.581,1.17805,0.83209,1.35354,0.91775,0.89284,0.94311,0.61788,1.20434,0.63166,1.35809,0.0007327,0.0007327,0.0007327
29,630.062,1.16513,0.8194,1.34473,0.90612,0.88319,0.93576,0.60336,1.23893,0.67688,1.39431,0.0007228,0.0007228,0.0007228
30,650.845,1.15173,0.80651,1.33089,0.91787,0.89291,0.94215,0.61005,1.2288,0.64335,1.39611,0.0007129,0.0007129,0.0007129
31,671.497,1.15241,0.79929,1.32817,0.91459,0.89557,0.93809,0.60203,1.25147,0.64429,1.41217,0.000703,0.000703,0.000703
32,692.314,1.12303,0.77777,1.31737,0.92138,0.91046,0.94961,0.62279,1.22473,0.60904,1.37761,0.0006931,0.0006931,0.0006931
33,713.273,1.14193,0.78876,1.32183,0.9097,0.90615,0.94214,0.60993,1.24156,0.6207,1.39448,0.0006832,0.0006832,0.0006832
34,734.286,1.12279,0.76208,1.3146,0.92898,0.90221,0.94717,0.62831,1.21767,0.60291,1.38202,0.0006733,0.0006733,0.0006733
35,755.583,1.11343,0.75385,1.30812,0.91819,0.90451,0.94275,0.60961,1.25454,0.63725,1.3849,0.0006634,0.0006634,0.0006634
36,776.318,1.11089,0.75278,1.29825,0.93092,0.9142,0.95774,0.63823,1.18759,0.57802,1.34941,0.0006535,0.0006535,0.0006535
