epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5205,1.52676,3.08468,1.68086,0.38993,0.49076,0.39805,0.18219,1.63091,2.74974,1.8547,0.000331512,0.000331512,0.000331512
2,41.3474,1.52484,2.28068,1.63208,0.61079,0.54037,0.58672,0.30772,1.57492,1.8634,1.76783,0.000658263,0.000658263,0.000658263
3,59.9872,1.53463,1.976,1.62278,0.56497,0.4796,0.50286,0.23957,1.74501,1.93462,1.8444,0.000978415,0.000978415,0.000978415
4,78.1901,1.53518,1.86126,1.62878,0.54393,0.58142,0.57404,0.28883,1.6324,1.79571,1.79213,0.0009703,0.0009703,0.0009703
5,96.5279,1.50193,1.68629,1.59596,0.61287,0.54117,0.56343,0.27759,1.68433,1.80493,1.84885,0.0009604,0.0009604,0.0009604
6,114.677,1.47397,1.56325,1.57404,0.74034,0.6778,0.74067,0.40134,1.5259,1.41535,1.6245,0.0009505,0.0009505,0.0009505
7,132.936,1.45407,1.45657,1.54224,0.75747,0.60342,0.69351,0.37493,1.54862,1.46239,1.66745,0.0009406,0.0009406,0.0009406
8,151.008,1.42678,1.38657,1.52521,0.81038,0.74367,0.79409,0.43743,1.50626,1.21986,1.65042,0.0009307,0.0009307,0.0009307
9,169.287,1.40117,1.32432,1.51265,0.81754,0.73956,0.81996,0.45711,1.49068,1.1376,1.61735,0.0009208,0.0009208,0.0009208
10,187.609,1.40187,1.3061,1.50934,0.77784,0.71627,0.80678,0.44877,1.51244,1.17095,1.62824,0.0009109,0.0009109,0.0009109
11,205.88,1.36377,1.25704,1.48708,0.8253,0.79557,0.85368,0.48649,1.46206,1.0457,1.59564,0.000901,0.000901,0.000901
12,224.096,1.37167,1.22052,1.4841,0.80199,0.76755,0.82028,0.47157,1.40871,1.16702,1.56138,0.0008911,0.0008911,0.0008911
13,242.11,1.3381,1.18241,1.45922,0.80091,0.787,0.83037,0.44432,1.54805,1.06332,1.68554,0.0008812,0.0008812,0.0008812
14,259.984,1.33505,1.14327,1.45406,0.8295,0.78802,0.84658,0.47826,1.5014,1.03538,1.61564,0.0008713,0.0008713,0.0008713
15,278.56,1.32393,1.10791,1.43706,0.84582,0.8181,0.87963,0.51162,1.43208,0.94814,1.5433,0.0008614,0.0008614,0.0008614
16,296.823,1.32216,1.09399,1.44086,0.83579,0.81973,0.88053,0.51951,1.37793,0.91232,1.48646,0.0008515,0.0008515,0.0008515
17,315.496,1.29597,1.06666,1.42001,0.87511,0.84148,0.90125,0.5469,1.34047,0.90767,1.46996,0.0008416,0.0008416,0.0008416
18,334.014,1.29381,1.05905,1.42073,0.8755,0.86037,0.91474,0.55381,1.34606,0.82938,1.47362,0.0008317,0.0008317,0.0008317
19,352.162,1.29239,1.05734,1.42293,0.7978,0.72855,0.76651,0.44303,1.46711,1.15909,1.5891,0.0008218,0.0008218,0.0008218
20,370.504,1.27014,1.01326,1.40119,0.89381,0.86758,0.91889,0.56736,1.29823,0.79951,1.43443,0.0008119,0.0008119,0.0008119
21,389.255,1.264,1.02046,1.40224,0.8517,0.80449,0.87428,0.51969,1.40867,0.93824,1.53133,0.000802,0.000802,0.000802
22,406.978,1.2524,0.97856,1.38861,0.90667,0.8622,0.92161,0.5703,1.32446,0.78061,1.44998,0.0007921,0.0007921,0.0007921
23,425.697,1.2379,0.96227,1.38658,0.90757,0.86999,0.92576,0.57742,1.32191,0.78695,1.43949,0.0007822,0.0007822,0.0007822
24,444.177,1.23185,0.94621,1.37179,0.89358,0.86521,0.91882,0.57513,1.28926,0.77696,1.43476,0.0007723,0.0007723,0.0007723
25,462.374,1.2282,0.94217,1.3768,0.88366,0.88007,0.92476,0.57707,1.30272,0.77316,1.42096,0.0007624,0.0007624,0.0007624
26,480.287,1.22875,0.93836,1.37746,0.90853,0.86416,0.91101,0.57537,1.28411,0.76824,1.4092,0.0007525,0.0007525,0.0007525
