epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7214,1.51846,3.04896,1.66592,0.41521,0.37553,0.34169,0.14696,1.74943,2.60666,1.94085,0.000331512,0.000331512,0.000331512
2,42.5862,1.52377,2.23815,1.63618,0.57988,0.49381,0.50505,0.27123,1.56024,2.02003,1.71269,0.000658263,0.000658263,0.000658263
3,62.052,1.51328,1.9066,1.6079,0.51003,0.54936,0.49905,0.23902,1.68913,1.88008,1.82585,0.000978415,0.000978415,0.000978415
4,80.3282,1.52917,1.79082,1.62258,0.5909,0.45434,0.52247,0.24571,1.81693,1.94696,1.90506,0.0009703,0.0009703,0.0009703
5,99.0429,1.48399,1.61908,1.58433,0.68906,0.65931,0.70579,0.37141,1.55443,1.46047,1.72646,0.0009604,0.0009604,0.0009604
6,117.895,1.46248,1.49142,1.55706,0.80356,0.76114,0.82061,0.4613,1.47273,1.18538,1.58788,0.0009505,0.0009505,0.0009505
7,137.687,1.42849,1.38667,1.51957,0.7401,0.69176,0.76484,0.42521,1.47523,1.38804,1.60909,0.0009406,0.0009406,0.0009406
8,156.397,1.40315,1.31087,1.50736,0.73855,0.72333,0.76817,0.4351,1.46178,1.2724,1.57901,0.0009307,0.0009307,0.0009307
9,175.111,1.37259,1.26285,1.49238,0.81456,0.79113,0.84356,0.48142,1.44983,1.01945,1.60652,0.0009208,0.0009208,0.0009208
10,194.428,1.36966,1.22955,1.48887,0.81308,0.75471,0.83076,0.47108,1.46239,1.06338,1.57184,0.0009109,0.0009109,0.0009109
11,213.886,1.34057,1.191,1.4729,0.85366,0.79154,0.86314,0.50991,1.38595,0.97643,1.5363,0.000901,0.000901,0.000901
12,233.022,1.34076,1.15204,1.46379,0.86598,0.83556,0.88805,0.53021,1.36773,0.92348,1.50422,0.0008911,0.0008911,0.0008911
13,252.234,1.30833,1.10293,1.44318,0.83849,0.82443,0.87419,0.53531,1.32864,0.89834,1.47901,0.0008812,0.0008812,0.0008812
14,271.224,1.29675,1.07405,1.42728,0.87203,0.8172,0.8704,0.50589,1.44818,0.92885,1.54979,0.0008713,0.0008713,0.0008713
15,289.024,1.28888,1.04496,1.42118,0.8779,0.84744,0.9024,0.5552,1.32763,0.83631,1.46932,0.0008614,0.0008614,0.0008614
16,308.044,1.27885,1.03111,1.41367,0.86208,0.85236,0.8972,0.54859,1.31703,0.84273,1.46127,0.0008515,0.0008515,0.0008515
17,325.523,1.25993,0.99155,1.40036,0.88242,0.87407,0.91131,0.57976,1.2762,0.78004,1.42834,0.0008416,0.0008416,0.0008416
18,344.432,1.25442,0.9899,1.39831,0.85479,0.81352,0.87809,0.53235,1.33691,0.87034,1.48231,0.0008317,0.0008317,0.0008317
19,363.449,1.24889,0.98187,1.39838,0.86665,0.85306,0.9038,0.56065,1.32253,0.81827,1.4543,0.0008218,0.0008218,0.0008218
20,382.21,1.2247,0.94843,1.38018,0.90252,0.86459,0.92369,0.5866,1.26827,0.76992,1.4325,0.0008119,0.0008119,0.0008119
21,401.335,1.22645,0.95229,1.3804,0.88286,0.85508,0.90729,0.57731,1.29324,0.79641,1.42769,0.000802,0.000802,0.000802
22,420.004,1.21093,0.91232,1.36139,0.89849,0.89078,0.93423,0.59624,1.26564,0.70689,1.40709,0.0007921,0.0007921,0.0007921
23,439.277,1.19795,0.8986,1.36476,0.90353,0.87947,0.9232,0.59117,1.25639,0.73203,1.41026,0.0007822,0.0007822,0.0007822
24,457.957,1.20134,0.89892,1.36079,0.90995,0.87863,0.92821,0.59024,1.26497,0.70966,1.41159,0.0007723,0.0007723,0.0007723
25,476.521,1.1914,0.87631,1.3548,0.92032,0.88093,0.93215,0.59291,1.26441,0.71239,1.41718,0.0007624,0.0007624,0.0007624
26,495.198,1.19145,0.87405,1.35513,0.92225,0.90234,0.93875,0.60904,1.23327,0.66065,1.38571,0.0007525,0.0007525,0.0007525
27,514.069,1.17493,0.87411,1.34515,0.91454,0.88637,0.9313,0.59078,1.26731,0.69226,1.41779,0.0007426,0.0007426,0.0007426
28,532.913,1.173,0.8463,1.34256,0.90626,0.90387,0.94017,0.60988,1.23723,0.66209,1.38742,0.0007327,0.0007327,0.0007327
29,552.193,1.16121,0.83473,1.33501,0.90242,0.87541,0.92181,0.60055,1.22166,0.6935,1.38709,0.0007228,0.0007228,0.0007228
30,571.007,1.15824,0.8228,1.3274,0.89051,0.88329,0.92608,0.59538,1.27035,0.68529,1.4167,0.0007129,0.0007129,0.0007129
31,589.787,1.16926,0.81985,1.32794,0.89534,0.8965,0.93328,0.60539,1.23463,0.66261,1.38921,0.000703,0.000703,0.000703
32,608.669,1.13419,0.80128,1.31488,0.92324,0.89614,0.94221,0.62018,1.21744,0.64348,1.36669,0.0006931,0.0006931,0.0006931
33,628.157,1.1458,0.80386,1.31621,0.92234,0.89,0.93289,0.62006,1.20992,0.64448,1.36769,0.0006832,0.0006832,0.0006832
34,647.445,1.13571,0.78558,1.31094,0.91431,0.90265,0.94077,0.62097,1.2142,0.62232,1.36598,0.0006733,0.0006733,0.0006733
35,667.029,1.1243,0.76949,1.30673,0.91573,0.91522,0.94678,0.61977,1.22807,0.618,1.36844,0.0006634,0.0006634,0.0006634
36,686.249,1.11235,0.77557,1.2935,0.90916,0.89095,0.93727,0.61783,1.21049,0.64867,1.36008,0.0006535,0.0006535,0.0006535
37,705.719,1.09704,0.7521,1.28485,0.9205,0.89827,0.93957,0.62245,1.22582,0.62487,1.36533,0.0006436,0.0006436,0.0006436
38,724.91,1.11184,0.76624,1.29768,0.91833,0.90506,0.94072,0.62557,1.19487,0.60465,1.34061,0.0006337,0.0006337,0.0006337
39,743.976,1.09508,0.75638,1.29282,0.93104,0.89455,0.94236,0.62181,1.20661,0.61806,1.36662,0.0006238,0.0006238,0.0006238
40,762.939,1.10339,0.7581,1.297,0.93074,0.91724,0.95094,0.63021,1.19469,0.59097,1.3483,0.0006139,0.0006139,0.0006139
41,782.006,1.08324,0.73808,1.28211,0.9284,0.90079,0.94657,0.63251,1.18188,0.59284,1.3389,0.000604,0.000604,0.000604
42,801.217,1.09435,0.73315,1.28778,0.91592,0.9242,0.94821,0.62542,1.21358,0.58617,1.37508,0.0005941,0.0005941,0.0005941
43,820.182,1.08505,0.7297,1.27446,0.92486,0.91335,0.95176,0.63651,1.19826,0.58847,1.35706,0.0005842,0.0005842,0.0005842
44,839.179,1.07136,0.72076,1.27482,0.91851,0.91759,0.94521,0.6269,1.20042,0.59189,1.36321,0.0005743,0.0005743,0.0005743
45,857.813,1.07733,0.70997,1.27827,0.92454,0.91656,0.95416,0.64501,1.16228,0.56467,1.32931,0.0005644,0.0005644,0.0005644
46,876.607,1.06465,0.7101,1.27269,0.91584,0.92177,0.94614,0.64282,1.16631,0.58415,1.3379,0.0005545,0.0005545,0.0005545
47,895.199,1.05704,0.70418,1.25894,0.92549,0.90844,0.94616,0.63814,1.17012,0.57759,1.33274,0.0005446,0.0005446,0.0005446
48,913.629,1.05286,0.69727,1.25492,0.93888,0.91342,0.95494,0.6408,1.18582,0.56853,1.34047,0.0005347,0.0005347,0.0005347
49,932.098,1.06597,0.69878,1.26904,0.92702,0.91693,0.95298,0.64453,1.17611,0.56551,1.33557,0.0005248,0.0005248,0.0005248
50,950.325,1.03028,0.67705,1.24957,0.92041,0.92264,0.95118,0.63761,1.1889,0.57067,1.35025,0.0005149,0.0005149,0.0005149
51,968.91,1.03506,0.6809,1.24894,0.93328,0.92309,0.95182,0.64633,1.18162,0.56069,1.33352,0.000505,0.000505,0.000505
52,987.19,1.03948,0.67848,1.24881,0.92962,0.91836,0.95354,0.64658,1.18079,0.54645,1.33011,0.0004951,0.0004951,0.0004951
53,1005.96,1.02894,0.67289,1.24819,0.9308,0.92843,0.95659,0.65282,1.16203,0.54724,1.32253,0.0004852,0.0004852,0.0004852
54,1024.67,1.02164,0.65972,1.23528,0.9248,0.92999,0.95624,0.64353,1.18106,0.55292,1.33725,0.0004753,0.0004753,0.0004753
55,1042.9,1.02013,0.66295,1.2406,0.92588,0.92251,0.95194,0.6454,1.1697,0.55239,1.33495,0.0004654,0.0004654,0.0004654
56,1061.1,1.01053,0.65115,1.23624,0.92808,0.92114,0.95242,0.65,1.1647,0.53851,1.34081,0.0004555,0.0004555,0.0004555
57,1079.65,1.00502,0.64093,1.22677,0.94036,0.91491,0.95539,0.65093,1.1687,0.55028,1.33402,0.0004456,0.0004456,0.0004456
58,1098.33,0.9956,0.64263,1.23124,0.93629,0.92281,0.9555,0.6525,1.15947,0.54052,1.32308,0.0004357,0.0004357,0.0004357
59,1117.06,1.00001,0.64657,1.22669,0.9159,0.92602,0.95248,0.65019,1.15305,0.53957,1.32609,0.0004258,0.0004258,0.0004258
60,1135.6,0.98906,0.63599,1.22662,0.94395,0.90401,0.95695,0.65719,1.14659,0.53643,1.31412,0.0004159,0.0004159,0.0004159
61,1155.06,0.99202,0.63759,1.22787,0.94059,0.93277,0.96013,0.65886,1.15975,0.53583,1.32331,0.000406,0.000406,0.000406
62,1174.23,0.99063,0.62454,1.22267,0.92971,0.92894,0.95758,0.65362,1.15629,0.53698,1.32344,0.0003961,0.0003961,0.0003961
63,1193.16,0.9772,0.62571,1.20979,0.94515,0.90471,0.956,0.65466,1.15701,0.5379,1.32643,0.0003862,0.0003862,0.0003862
64,1211.91,0.98006,0.62276,1.21493,0.94304,0.9174,0.95912,0.65154,1.15505,0.52668,1.32114,0.0003763,0.0003763,0.0003763
65,1230.81,0.97701,0.61052,1.20502,0.9243,0.92523,0.95877,0.65961,1.13179,0.53035,1.30618,0.0003664,0.0003664,0.0003664
66,1250,0.96602,0.616,1.20999,0.94137,0.92084,0.95469,0.65857,1.12712,0.52486,1.30011,0.0003565,0.0003565,0.0003565
67,1268.62,0.97723,0.61391,1.20611,0.93021,0.94165,0.96072,0.666,1.13897,0.5136,1.3076,0.0003466,0.0003466,0.0003466
68,1287.9,0.97012,0.6142,1.20541,0.93611,0.92675,0.95667,0.65926,1.13472,0.52254,1.30222,0.0003367,0.0003367,0.0003367
